Ergodic cost: 94.117     i: 3340/4000    perc: 83.50%    dt/Ts: 1.70     remaining: 6 s  elapsed: 28.3 s (34 s)
Ergodic cost: 95.193     i: 3360/4000    perc: 84.00%    dt/Ts: 1.75     remaining: 6 s  elapsed: 28.4 s (34 s)
Ergodic cost: 94.132     i: 3380/4000    perc: 84.50%    dt/Ts: 1.72     remaining: 5 s  elapsed: 28.6 s (34 s)
Ergodic cost: 89.757     i: 3400/4000    perc: 85.00%    dt/Ts: 1.74     remaining: 5 s  elapsed: 28.8 s (34 s)
Ergodic cost: 83.095     i: 3420/4000    perc: 85.50%    dt/Ts: 1.73     remaining: 5 s  elapsed: 29.0 s (34 s)
Ergodic cost: 77.084     i: 3440/4000    perc: 86.00%    dt/Ts: 1.75     remaining: 5 s  elapsed: 29.1 s (34 s)
Ergodic cost: 73.616     i: 3460/4000    perc: 86.50%    dt/Ts: 1.73     remaining: 5 s  elapsed: 29.3 s (34 s)
Ergodic cost: 72.809     i: 3480/4000    perc: 87.00%    dt/Ts: 1.73     remaining: 4 s  elapsed: 29.5 s (34 s)
Ergodic cost: 65.281     i: 3500/4000    perc: 87.50%    dt/Ts: 1.74     remaining: 4 s  elapsed: 29.7 s (34 s)
Ergodic cost: 62.187     i: 3520/4000    perc: 88.00%    dt/Ts: 1.70     remaining: 4 s  elapsed: 29.8 s (34 s)
Ergodic cost: 59.472     i: 3540/4000    perc: 88.50%    dt/Ts: 1.70     remaining: 4 s  elapsed: 30.0 s (34 s)
Ergodic cost: 57.726     i: 3560/4000    perc: 89.00%    dt/Ts: 1.73     remaining: 4 s  elapsed: 30.2 s (34 s)
Ergodic cost: 57.403     i: 3580/4000    perc: 89.50%    dt/Ts: 1.70     remaining: 4 s  elapsed: 30.3 s (34 s)
Ergodic cost: 58.215     i: 3600/4000    perc: 90.00%    dt/Ts: 1.75     remaining: 4 s  elapsed: 30.5 s (34 s)
Ergodic cost: 58.855     i: 3620/4000    perc: 90.50%    dt/Ts: 1.70     remaining: 3 s  elapsed: 30.7 s (34 s)
Ergodic cost: 58.102     i: 3640/4000    perc: 91.00%    dt/Ts: 1.77     remaining: 3 s  elapsed: 30.9 s (34 s)
Ergodic cost: 56.643     i: 3660/4000    perc: 91.50%    dt/Ts: 1.74     remaining: 3 s  elapsed: 31.0 s (34 s)
Ergodic cost: 55.797     i: 3680/4000    perc: 92.00%    dt/Ts: 1.73     remaining: 3 s  elapsed: 31.2 s (34 s)
Ergodic cost: 55.514     i: 3700/4000    perc: 92.50%    dt/Ts: 1.76     remaining: 3 s  elapsed: 31.4 s (34 s)
Ergodic cost: 55.755     i: 3720/4000    perc: 93.00%    dt/Ts: 1.73     remaining: 2 s  elapsed: 31.6 s (34 s)
Ergodic cost: 56.667     i: 3740/4000    perc: 93.50%    dt/Ts: 1.72     remaining: 2 s  elapsed: 31.7 s (34 s)
Ergodic cost: 58.460     i: 3760/4000    perc: 94.00%    dt/Ts: 1.75     remaining: 2 s  elapsed: 31.9 s (34 s)
Ergodic cost: 61.174     i: 3780/4000    perc: 94.50%    dt/Ts: 1.78     remaining: 2 s  elapsed: 32.1 s (34 s)
Ergodic cost: 64.189     i: 3800/4000    perc: 95.00%    dt/Ts: 1.72     remaining: 2 s  elapsed: 32.3 s (34 s)
Ergodic cost: 67.122     i: 3820/4000    perc: 95.50%    dt/Ts: 1.74     remaining: 2 s  elapsed: 32.5 s (34 s)
Ergodic cost: 69.515     i: 3840/4000    perc: 96.00%    dt/Ts: 1.76     remaining: 1 s  elapsed: 32.6 s (34 s)
Ergodic cost: 71.008     i: 3860/4000    perc: 96.50%    dt/Ts: 1.79     remaining: 1 s  elapsed: 32.8 s (34 s)
Ergodic cost: 71.800     i: 3880/4000    perc: 97.00%    dt/Ts: 1.75     remaining: 1 s  elapsed: 33.0 s (34 s)
Ergodic cost: 72.370     i: 3900/4000    perc: 97.50%    dt/Ts: 1.72     remaining: 1 s  elapsed: 33.2 s (34 s)
Ergodic cost: 73.011     i: 3920/4000    perc: 98.00%    dt/Ts: 1.71     remaining: 1 s  elapsed: 33.3 s (34 s)
Ergodic cost: 74.140     i: 3940/4000    perc: 98.50%    dt/Ts: 1.74     remaining: 1 s  elapsed: 33.5 s (34 s)
Ergodic cost: 76.704     i: 3960/4000    perc: 99.00%    dt/Ts: 1.74     remaining: 0 s  elapsed: 33.7 s (34 s)
Ergodic cost: 78.457     i: 3980/4000    perc: 99.50%    dt/Ts: 1.74     remaining: 0 s  elapsed: 33.9 s (34 s)
Setting new PHI
Coefficients copied.
Setting new PHI
Coefficients copied.
